"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
1,"Abbotsford","129 989","138 986","149 088",1.77,"49.06°N","122.30°W","British Columbia","Matsqui","Vancouver"
2,"Acton","7 767","8 481","9 059",1.66,"43.63°N","80.03°W","Ontario"," ","Toronto"
3,"Acton Vale","5 052","5 236","5 368",0.62,"45.63°N","72.57°W","Quebec"," "," "
4,"Airdrie","20 382","28 892","37 242",6.55,"51.30°N","114.02°W","Alberta"," ","Calgary"
5,"Aklavik"," "," ",621,,"68.22°N","135.00°W","Northwest Territories"," "," "
6,"Alberton","1 115","1 081","1 052",-0.68,"46.80°N","64.07°W","Prince Edward Island"," "," "
7,"Aldergrove","11 910","12 363","12 695",0.66,"49.06°N","122.50°W","British Columbia"," ","Vancouver"
8,"Alençon","1 399","1 462","1 509",0.79,"46.07°N","73.13°W","Quebec"," "," "
9,"Alexandria","3 379","3 287","3 208",-0.61,"45.30°N","74.63°W","Ontario"," "," "
10,"Alfred","1 348","1 340","1 330",-0.19,"45.55°N","74.87°W","Ontario"," "," "
11,"Alliston","11 093","12 523","13 728",2.32,"44.15°N","79.87°W","Ontario"," "," "
12,"Alma","26 208","25 394","24 793",-0.6,"48.55°N","71.66°W","Quebec"," "," "
13,"Almonte","4 659","4 538","4 434",-0.58,"45.22°N","76.20°W","Ontario"," "," "
14,"Altona","3 470","3 746","3 964",1.42,"49.10°N","97.57°W","Manitoba"," "," "
15,"Amherst","9 502","9 547","9 496",-0.13,"45.83°N","64.21°W","Nova Scotia"," "," "
16,"Amherstburg","12 804","13 410","13 865",0.84,"42.10°N","83.10°W","Ontario"," ","Detroit-Windsor"
17,"Amigo Beach","1 215","1 129","1 063",-1.49,"44.77°N","79.34°W","Ontario"," "," "
18,"Amos","10 463","10 033","9 682",-0.89,"48.57°N","78.14°W","Quebec"," "," "
19,"Amqui","4 768","4 519","4 321",-1.11,"48.47°N","67.43°W","Quebec"," "," "
20,"Angus-Borden","9 722","8 615","8 014",-1.79,"44.32°N","79.88°W","Ontario","Angus"," "
21,"Antigonish","5 195","4 665","4 275",-2.16,"45.62°N","61.97°W","Nova Scotia"," "," "
22,"Armstrong","4 256","4 258","4 249",-0.05,"50.45°N","119.18°W","British Columbia"," "," "
23,"Arnold's Cove","1 024","1 003",983,-0.5,"47.77°N","53.99°W","Newfoundland and Labrador"," "," "
