Date,Time(UT),Lat,Long,Depth,Mag,Region and Comment
6/25/10, 3:08:34, 50.81, -130.47, 10.0g , 3.7Mw ,215 km W of Pt. Hardy
6/25/10,2:22:41,51.06,-130.14,10.0g ,3.8Mw ,185 km WSW of Bella Bella
6/24/10,23:49:07,45.89,-75.53,18.0g ,3.2MN ,7 km SE from Val-des-Bois
6/23/10,23:34:03,45.87,-75.47,18.0g ,3.3MN ,12 km SE from Val-des-Bois
6/23/10,18:29:02,45.9,-75.47,18.0g ,3.0MN ,11 km E from Val-des-Bois
6/23/10,18:07:13,45.89,-75.51,18.0g ,3.0MN ,8 km SE from Val-des-Bois
6/23/10,18:07:22,58.12,-139.21,5.0g ,3.1ML ,131 km SSE of Yakutat
6/23/10,17:41:41,45.88,-75.5,20.6* ,5.0Mw ,8 km E from Val-des-Bois
6/20/10,9:55:26,77.9,-111.62,18.0g ,3.6ML ,Mackenzie King Island
6/18/10,4:47:28,76.34,-105.72,18.0g ,3.0MN ,Byam Martin Channel
6/17/10,22:11:06,76.42,-94.36,18.0g ,3.2MN ,134 km NE from Polaris
6/17/10,14:28:28,50.72,-130.53,10.0g ,3.6Mw ,219 km W of Pt. Hardy
6/17/10,3:14:05,50.67,-130.49,10.0g ,3.2Mw ,216 km W of Pt. Hardy
6/16/10,18:58:39,66.4,-144.76,1.0g ,3.8ML ,220 km ENE of Fairbanks
6/16/10,8:11:36,50.57,-130.31,10.0g ,3.2Mw ,204 km W of Pt. Hardy
6/16/10,4:06:16,58.16,-139.31,1.0g ,3.3ML ,126 km S of Yakutat
6/16/10,3:33:55,58.14,-139.38,10.0g ,5.3ML ,128 km S of Yakutat
6/15/10,14:59:48,45.97,-73.82,18.0g ,3.3MN ,8 km W from Sainte-Julienne
6/14/10,8:21:13,50.21,-129.77,10.0g ,3.3Mw ,175 km WSW of Pt. Hardy
6/14/10,2:28:04,49.15,-129.75,10.0g ,3.1Mw ,240 km WSW of Pt. Hardy
6/13/10,9:34:55,50.56,-130.42,10.0g ,3.3Mw ,212 km W of Pt. Hardy
6/12/10,8:31:32,63.44,-132.04,10.0g ,3.0ML ,330 km WSW of Norman Wells
6/11/10,22:25:19,59.5,-122.3,15.0g ,3.4ML ,79 km NNE of Fort Nelson
6/11/10,6:43:45,58.45,-60.78,18.0g ,3.1ML ,Offshore Northern Labrador
6/8/10,2:07:47,72.06,-65.88,18.0g ,3.4ML ,BAFFIN BAY SEISMIC ZONE. 
6/4/10,3:16:14,41.67,-55.6,18.0g ,3.3ML ,Atlantic Ocean. 
6/3/10,11:12:43,59.25,-137.8,5.0g ,3.2ML ,95 km E of Yakutat
6/3/10,5:15:13,50.53,-130.23,10.0g ,3.1Mw ,199 km W of Pt. Hardy
6/3/10,5:14:22,50.51,-130.22,10.0g ,3.2Mw ,199 km W of Pt. Hardy
6/3/10,5:02:11,50.61,-130.43,10.0g ,3.4Mw ,212 km W of Pt. Hardy
6/3/10,2:09:17,50.51,-130.24,10.0g ,3.0Mw ,200 km W of Pt. Hardy
5/31/10,2:47:52,66.82,-135.22,20.0g ,3.4ML ,77 km SW of Fort McPherson
5/30/10,6:46:37,72.97,-136.74,35.0g ,3.4ML ,399 km W of Sachs Harbour
5/30/10,6:09:16,68.71,-121.36,35.0g ,3.0ML ,276 km W of Coppermine
5/29/10,18:52:24,60.08,-138.17,1.0g ,3.1ML ,82 km SW of Haines Jct.
5/27/10,9:20:27,72.95,-136.71,35.0g ,3.8MLSn ,398 km W of Sachs Harbour
5/27/10,1:39:00,50.53,-130.23,10.0g ,3.4Mw ,199 km W of Pt. Hardy
5/26/10,8:14:14,60.72,-139.65,1.0g ,3.0ML ,115 km W of Haines Jct.
5/26/10,4:16:09,48.58,-128.63,10.0g ,3.1Mw ,208 km WSW of Tofino
5/25/10,21:18:45,63.49,-127.05,5.0g ,4.2ML ,204 km S of Norman Wells
5/25/10,12:00:50,49.18,-128.04,10.0g ,3.1Mw ,151 km WSW of Gold R.
5/25/10,9:54:00,50.85,-129.79,10.0g ,3.2Mw ,168 km W of Pt. Hardy
5/24/10,18:04:03,71.42,-63.16,18.0g ,3.3ML ,Baffin Bay. 
5/23/10,19:53:38,50.69,-130.56,10.0g ,3.5Mw ,221 km W of Pt. Hardy
5/23/10,12:15:55,49.61,-129.86,10.0g ,3.0Mw ,212 km WSW of Pt. Hardy
5/23/10,9:22:50,48.82,-128.59,10.0g ,3.0Mw ,199 km W of Tofino
5/22/10,2:25:48,50.95,-131,10.0g ,3.1Mw ,240 km WSW of Bella Bella
5/19/10,19:12:19,79.79,-94.52,18.0g ,3.0ML ,170 km W from Eureka
5/19/10,18:32:41,79.74,-94.16,18.0g ,3.1ML ,164 km W from Eureka
5/19/10,15:11:01,49.25,-129.72,10.0g ,3.4Mw ,230 km WSW of Pt. Hardy
5/18/10,21:54:24,65.07,-86.48,18.0g ,3.0MN ,166 km S from Repulse Bay
5/18/10,21:16:53,48.33,-128.96,10.0g ,3.6Mw ,241 km WSW of Tofino
5/18/10,21:15:41,48.38,-128.8,10.0g ,3.6Mw ,228 km WSW of Tofino
5/18/10,21:00:22,48.54,-128.77,10.0g ,3.2Mw ,220 km WSW of Tofino
5/16/10,17:14:50,50.47,-130.22,10.0g ,3.8Mw ,199 km W of Pt. Hardy
5/16/10,0:34:43,49.71,-66.94,18.0g ,3.1MN ,35 km S from Port-Cartier
5/16/10,0:20:26,62.89,-61.03,18.0g ,3.0ML ,LABRADOR SEA SEISMIC ZONE. 
